City,State,Venue,Address,Time,Host,HostType,EventbriteURL,Status,Paused,Latitude,Longitude,EventbriteID,LastSynced,Notes,EventID,FirstAdded,Last Updated
Chattanooga,TN,,,,,One-day host,,Coming soon,No,35.04572,-85.30949,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Hendersonville,TN,Texas Roadhouse,"309 Indian Lake Boulevard, Hendersonville, TN 37075",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-hendersonville-a-nationwide-day-of-volunteering-tickets-1998954194807?aff=oddtdtcreator,Live,No,36.3309228,-86.5951462,1998954194807,,Seeded from Eventbrite page on 2026-09-02,,,
Allen,TX,BoomerJack's Grill,"131 East Stacy Road, Fairview, TX 75069",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-allen-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998748201676?aff=oddtdtcreator,Live,No,33.1310079,-96.65406620000002,1998748201676,,Seeded from Eventbrite page on 2026-09-02,,,
Anna,TX,Texas Roadhouse,"201 South Central Expressway, Anna, TX 75409",8:30 AM - 10:30 AM,,One-day host,https://www.eventbrite.com/e/feed-the-country-anna-a-nationwide-day-of-volunteering-tickets-1999288192804?aff=oddtdtcreator,Live,No,33.3485721,-96.5854663,1999288192804,,Seeded from Eventbrite page on 2026-09-02,,,
Arlington,TX,BoomerJack's Grill,"522 Lincoln Square, Arlington, TX 76011",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-arlington-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998746116439?aff=oddtdtcreator,Live,No,32.7566914,-97.09792449999999,1998746116439,,Seeded from Eventbrite page on 2026-09-02,,,
Austin (South),TX,Bouldin Acres,"10400 Menchaca Road, Austin, TX 78748",10:00 AM - 11:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-austin-south-a-nationwide-day-of-volunteering-tickets-1998748542696?aff=oddtdtcreator,Live,No,30.1672463,-97.82750569999999,1998748542696,,Seeded from Eventbrite page on 2026-09-02,,,
Austin (Zilker),TX,Bouldin Acres,"2027 South Lamar Boulevard, Austin, TX 78704",9:30 AM - 11:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-austin-zilker-a-nationwide-day-of-volunteering-tickets-1998955146654?aff=oddtdtcreator,Live,No,30.2482149,-97.76864479999999,1998955146654,,Seeded from Eventbrite page on 2026-09-02,,,
Bedford,TX,BoomerJack's Grill,"2300 Airport Freeway, #Suite 222, Bedford, TX 76022",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-bedford-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998768241616?aff=oddtdtcreator,Live,No,32.8355904,-97.130986,1998768241616,,Seeded from Eventbrite page on 2026-09-02,,,
Burleson,TX,Cotton Patch Cafe,"1103 North Burleson Boulevard, Burleson, TX 76028",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-burleson-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998748471483?aff=oddtdtcreator,Live,No,32.5666975,-97.3205382,1998748471483,,Seeded from Eventbrite page on 2026-09-02,,,
Carrollton,TX,3 Nations Brewing,"1033 Vandergriff Drive, Carrollton, TX 75006",9:45 AM - 11:45 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-carrollton-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998751821503?aff=oddtdtcreator,Live,No,32.9510887,-96.90627099999999,1998751821503,,Seeded from Eventbrite page on 2026-09-02,,,
Celina,TX,Silos In Celina,"300 North Oklahoma Drive, Celina, TX 75009",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-celina-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998805566255?aff=oddtdtcreator,Live,No,33.3255236,-96.7827935,1998805566255,,Seeded from Eventbrite page on 2026-09-02,,,
Dallas (Lakewood),TX,Chili's Grill & Bar,"1081 South Preston Road, Prosper, TX 75078",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-dallas-lakewood-a-nationwide-day-of-volunteering-tickets-1998758668984?aff=oddtdtcreator,Live,No,33.2250996,-96.7962099,1998758668984,,CHECK: the Eventbrite page for Dallas (Lakewood) lists the Prosper venue and address. Confirm with the host and fix on Eventbrite; the sync will then update this row.,,,
Dallas (North),TX,Bowl and Barrel,"8084 Park Lane, #Ste 145, Dallas, TX 75231",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-dallas-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1994332064892?aff=oddtdtcreator,Live,No,32.8705962,-96.7674196,1994332064892,,Seeded from Eventbrite page on 2026-09-02,,,
Denton,TX,Union Bear Brewing Company - Denton,"215 South Bell Avenue, Denton, TX 76201",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-denton-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998879827372?aff=oddtdtcreator,Live,No,33.2128716,-97.12803009999999,1998879827372,,Seeded from Eventbrite page on 2026-09-02,,,
Flower Mound,TX,Texas Roadhouse,"3811 Long Prairie Road, Flower Mound, TX 75028",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-flower-mound-a-nationwide-day-of-volunteering-tickets-1998746196679?aff=oddtdtcreator,Live,No,33.0373484,-97.070486,1998746196679,,Seeded from Eventbrite page on 2026-09-02,,,
Forney,TX,Eno's Pizza Tavern,"215 South Bois D'Arc Street, Forney, TX 75126",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-forney-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998748438384?aff=oddtdtcreator,Live,No,32.7474334,-96.47235979999999,1998748438384,,Seeded from Eventbrite page on 2026-09-02,,,
Fort Worth (Alliance),TX,BoomerJack's Grill,"6701 Fossil Bluff Drive, Fort Worth, TX 76137",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-fort-worth-alliance-a-nationwide-day-of-volunteering-tickets-1998809575246?aff=oddtdtcreator,Live,No,32.8629078,-97.31301169999999,1998809575246,,Seeded from Eventbrite page on 2026-09-02,,,
Fort Worth (Lake Worth),TX,BoomerJack's Grill,"6800 Northwest Loop 820, Fort Worth, TX 76135",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-fort-worth-lake-worth-a-nationwide-day-of-volunteering-tickets-1998880029978?aff=oddtdtcreator,Live,No,32.8010025,-97.4350509,1998880029978,,Seeded from Eventbrite page on 2026-09-02,,,
Fort Worth (South),TX,BoomerJack's Grill,"6001 Southwest Loop 820, Fort Worth, TX 76132",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-fort-worth-south-a-nationwide-day-of-volunteering-tickets-1998747247823?aff=oddtdtcreator,Live,No,32.682192,-97.4146404,1998747247823,,Seeded from Eventbrite page on 2026-09-02,,,
Frisco,TX,Sidecar Social Frisco,"6770 Winning Drive, Frisco, TX 75034",8:00 AM - 10:00 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-frisco-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998949332263?aff=oddtdtcreator,Live,No,33.1077444,-96.82701879999999,1998949332263,,Seeded from Eventbrite page on 2026-09-02,,,
Garland,TX,Texas Roadhouse,"5012 North President George Bush Highway, Garland, TX 75040",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-garland-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998778564492?aff=oddtdtcreator,Live,No,32.96322019999999,-96.6367052,1998778564492,,Seeded from Eventbrite page on 2026-09-02,,,
Grand Prairie,TX,Rios Brewing Company,"1015 IKEA Place, #500, Grand Prairie, TX 75052",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-grand-prairie-a-nationwide-day-of-volunteering-tickets-1998949386425?aff=oddtdtcreator,Live,No,32.6879272,-97.02249929999999,1998949386425,,Seeded from Eventbrite page on 2026-09-02,,,
Greenville,TX,Chili's Grill & Bar,"7099 Interstate 30, Greenville, TX 75402",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-greenville-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998954076453?aff=oddtdtcreator,Live,No,33.098003,-96.105138,1998954076453,,Seeded from Eventbrite page on 2026-09-02,,,
Houston,TX,Barcelona Wine Bar,"1731 Westheimer Road, Houston, TX 77098",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-houston-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998809706639?aff=oddtdtcreator,Live,No,29.7426555,-95.40344139999999,1998809706639,,Seeded from Eventbrite page on 2026-09-02,,,
Irving,TX,Texas Roadhouse,"2525 West Lyndon B Johnson Freeway, Irving, TX 75063",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-irving-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998748318024?aff=oddtdtcreator,Live,No,32.9216309,-96.9812753,1998748318024,,Seeded from Eventbrite page on 2026-09-02,,,
Lufkin,TX,,,,,One-day host,,Coming soon,No,31.33862,-94.72886,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Mansfield,TX,Texas Roadhouse,"940 U.S. 287, Mansfield, TX 76063",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-mansfield-a-nationwide-day-of-volunteering-tickets-1999286239963?aff=oddtdtcreator,Live,No,32.581093,-97.129885,1999286239963,,Seeded from Eventbrite page on 2026-09-02,,,
McKinney,TX,Union Bear Brewing - McKinney,"308 West Virginia Street, McKinney, TX 75069",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-mckinney-a-nationwide-day-of-volunteering-tickets-1998954307143?aff=oddtdtcreator,Live,No,33.1980948,-96.6178668,1998954307143,,Seeded from Eventbrite page on 2026-09-02,,,
Mesquite,TX,Texas Roadhouse,"1420 North Peachtree Road, Mesquite, TX 75149",8:30 AM - 10:30 AM,,One-day host,https://www.eventbrite.com/e/feed-the-country-mesquite-a-nationwide-day-of-volunteering-tickets-1999290826682?aff=oddtdtcreator,Live,No,32.7859692,-96.62549229999999,1999290826682,,Seeded from Eventbrite page on 2026-09-02,,,
Pearland,TX,,,,,Monthly chapter,,Coming soon,No,29.56398,-95.28643,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Plano,TX,BoomerJack's Grill,"5430 State Highway 121, Plano, TX 75024",8:00 AM - 10:00 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-plano-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998746887746?aff=oddtdtcreator,Live,No,33.0938469,-96.810307,1998746887746,,Seeded from Eventbrite page on 2026-09-02,,,
Prosper,TX,Chili's Grill & Bar,"1081 South Preston Road, Prosper, TX 75078",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-prosper-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998699279348?aff=oddtdtcreator,Live,No,33.2250996,-96.7962099,1998699279348,,Seeded from Eventbrite page on 2026-09-02,,,
Richardson,TX,Wildwood CityLine,"1417 East Renner Road, #Suite 300, Richardson, TX 75082",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-richardson-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998952503749?aff=oddtdtcreator,Live,No,32.9986999,-96.6974135,1998952503749,,Seeded from Eventbrite page on 2026-09-02,,,
Rockwall,TX,Cotton Patch Cafe,"909 East Interstate 30, #101, Rockwall, TX 75087",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-rockwall-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998810842035?aff=oddtdtcreator,Live,No,32.9014727,-96.4559199,1998810842035,,Seeded from Eventbrite page on 2026-09-02,,,
Round Rock,TX,Anchor Bar Round Rock,"2702 Parker Drive, #Suite B, Round Rock, TX 78681",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-round-rock-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998952409467?aff=oddtdtcreator,Live,No,30.4808225,-97.6818157,1998952409467,,Seeded from Eventbrite page on 2026-09-02,,,
Royse City,TX,Smoke Sessions Barbecue,"307 Texas 66, Royse City, TX 75189",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-royse-city-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998747084334?aff=oddtdtcreator,Live,No,32.974386,-96.33492170000001,1998747084334,,Seeded from Eventbrite page on 2026-09-02,,,
San Antonio,TX,Dos Sirenos Brewing,"231 East Cevallos Street, San Antonio, TX 78204",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-san-antonio-a-nationwide-day-of-volunteering-tickets-1999286017297?aff=oddtdtcreator,Live,No,29.40854169999999,-98.4983745,1999286017297,,Seeded from Eventbrite page on 2026-09-02,,,
Southlake,TX,Taverna Rossa,"1151 East Southlake Boulevard, #300, Southlake, TX 76092",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-southlake-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998952268044?aff=oddtdtcreator,Live,No,32.9402616,-97.1346188,1998952268044,,Seeded from Eventbrite page on 2026-09-02,,,
Spring,TX,Cotton Patch Cafe,"5431 Farm to Market 2920, Spring, TX 77388",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-spring-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998748231766?aff=oddtdtcreator,Live,No,30.0735511,-95.5055007,1998748231766,,Seeded from Eventbrite page on 2026-09-02,,,
The Colony,TX,,,,,One-day host,,Coming soon,No,33.08901,-96.88639,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Waco,TX,Cotton Patch Cafe,"5501 Bosque Boulevard, Waco, TX 76710",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-waco-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998951819703?aff=oddtdtcreator,Live,No,31.5327092,-97.1944812,1998951819703,,Seeded from Eventbrite page on 2026-09-02,,,
Waxahachie,TX,Chili's Grill & Bar,"998 U.S. 287, Waxahachie, TX 75165",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-waxahachie-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998951789613?aff=oddtdtcreator,Live,No,32.420854,-96.83948099999999,1998951789613,,Seeded from Eventbrite page on 2026-09-02,,,
Weatherford,TX,,,,,One-day host,,Coming soon,No,32.75896,-97.79707,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Wylie,TX,Cotton Patch Cafe,"3300 Farm to Market Road 544, Wylie, TX 75098",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-wylie-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998746260871?aff=oddtdtcreator,Live,No,33.0107081,-96.5905228,1998746260871,,Seeded from Eventbrite page on 2026-09-02,,,
